央视频道,#genre#
东邪西毒,http://cfss.cc/cdn/hy/23824164.flv
法证先锋,http://cfss.cc/cdn/hy/23863804.flv
使徒行者,http://cfss.cc/cdn/hy/23734256.flv
陀枪师姐,http://cfss.cc/cdn/hy/23860039.flv
公主嫁到,http://cfss.cc/cdn/yy/1382736915.flv
小李飞刀,http://cfss.cc/cdn/hy/11342417.flv
龙门镖局,http://cfss.cc/cdn/hy/11352874.flv
延禧攻略,http://cfss.cc/cdn/hy/26355864.flv
康熙王朝,http://cfss.cc/cdn/hy/11352940.flv
康熙王朝,http://cfss.cc/cdn/yy/1382736818.flv
士兵突击,http://cfss.cc/cdn/hy/11342430.flv
士兵突击,http://cfss.cc/cdn/yy/1382828766.flv
火蓝刀锋,http://cfss.cc/cdn/yy/1382737892.flv
扫黑风暴,http://cfss.cc/cdn/hy/11342404.flv
血色浪漫,http://cfss.cc/cdn/yy/1354926676.flv
三国演义,http://cfss.cc/cdn/hy/11602081.flv
三国演义,http://cfss.cc/cdn/yy/1354936241.flv
陈翔六点半,http://cfss.cc/cdn/hy/11274154.flv
乌龙闯情关,http://cfss.cc/cdn/hy/26355767.flv
倚天屠龙记,http://cfss.cc/cdn/hy/11342403.flv
神医喜来乐,http://cfss.cc/cdn/hy/11601978.flv
神医喜来乐,http://cfss.cc/cdn/yy/1382714119.flv
小生物的故事,http://cfss.cc/cdn/yy/1382736834.flv
地球上的地狱,http://cfss.cc/cdn/yy/1382736918.flv
小鱼儿与花无缺,http://cfss.cc/cdn/hy/29465867.flv
铁齿铜牙纪晓岚,http://cfss.cc/cdn/hy/11342396.flv
铁齿铜牙纪晓岚,http://cfss.cc/cdn/yy/1354143978.flv
康熙微服私访记,http://cfss.cc/cdn/hy/11342418.flv
康熙微服私访记,http://cfss.cc/cdn/yy/1352811698.flv
我的团长我的团,http://cfss.cc/cdn/hy/11352910.flv

历届春晚,#genre#
春晚1983,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5MTRfNDAzMDAxOTlfNjYyNzMxNjcwMjBfMF8z_b_Beb3bda599f76c60c463c433ca7460153.mp4
春晚1984,https://alimov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1985,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4
春晚1986,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDRfNDAzMDAxOTlfNjYyNzMyNTU0OTRfMF8z_b_B24f7d19f1132fa5d7f502f8377ad5567.mp4
春晚1987,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDhfNDAzMDAxOTlfNjYyNzMyNjMyMDNfMF8z_b_B570493ed8f7200d4013a66b2d21b2de9.mp4
春晚1988,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTJfNDAzMDAxOTlfNjYyNzMyNjkxNjBfMF8z_b_B8c835b83a92d25bde81ba22c5cd9521e.mp4
春晚1989,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4
春晚1990,https://cdn8.yzzy-online.com/20220704/597_e0d90c37/1000k/hls/index.m3u8
春晚1991,https://alimov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjI2MTVfNDAzMDAxOTlfNjYyNzYwNjUxNjVfMF8z_b_B8feb7b85888678d71bf37a259c6850f6.mp4
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
